Date       ,Open      ,High      ,Low       ,Close     ,Adj Close ,Volume
4/04/2024  ,11.5      ,11.83     ,11.38     ,11.53     ,11.53     ,  4347000
5/04/2024  ,11.3      ,11.5      ,10.97     ,11.25     ,11.25     ,  4750800
8/04/2024  ,11.3      ,11.37     ,10.83     ,10.83     ,10.83     ,  3659100
9/04/2024  ,10.85     ,11.18     ,10.73     ,11.01     ,11.01     ,  3514400
10/04/2024 ,10.9      ,11.07     ,10.75     ,10.85     ,10.85     ,  3546200
11/04/2024 ,10.91     ,11.39     ,10.8      ,11.29     ,11.29     ,  3802100
12/04/2024 ,11.21     ,11.23     ,10.76     ,10.77     ,10.77     ,  3196300
15/04/2024 ,10.81     ,10.84     ,10.06     ,10.06     ,10.06     ,  5086300
16/04/2024 ,10        ,10.55     , 9.95     ,10.37     ,10.37     ,  4162100
17/04/2024 ,10.44     ,10.59     ,10.3      ,10.3      ,10.3      ,  2096700
18/04/2024 ,10.32     ,10.63     ,10.27     ,10.31     ,10.31     ,  2175400
19/04/2024 ,10.2      ,10.5      ,10.2      ,10.42     ,10.42     ,  2455100
22/04/2024 ,10.41     ,10.45     ,10.01     ,10.01     ,10.01     ,  3261000
23/04/2024 ,10.05     ,10.28     ,10.01     ,10.16     ,10.16     ,  2511800
24/04/2024 ,10.16     ,10.94     ,10.16     ,10.93     ,10.93     ,  4829600
25/04/2024 ,10.7      ,11.21     ,10.48     ,11.21     ,11.21     ,  4903800
26/04/2024 ,11.18     ,12.19     ,11        ,11.9      ,11.9      ,  7685100
29/04/2024 ,11.84     ,11.96     ,11.18     ,11.29     ,11.29     ,  3821500
30/04/2024 ,11.18     ,11.3      ,10.91     ,11.09     ,11.09     ,  2866500
1/05/2024  ,11.03     ,11.32     ,10.7      ,10.91     ,10.91     ,  2653200
2/05/2024  ,11.11     ,12.88     ,10.96     ,12.76     ,12.76     ,  8654800
3/05/2024  ,12.42     ,17.450001 ,12.31     ,16.469999 ,16.469999 , 36292400
6/05/2024  ,14.99     ,17.4      ,13.62     ,16.309999 ,16.309999 , 48018700
7/05/2024  ,15.85     ,17.290001 ,14.93     ,16.309999 ,16.309999 , 24308600
8/05/2024  ,16.049999 ,17.24     ,15.33     ,15.92     ,15.92     , 24775100
9/05/2024  ,15.9      ,18.51     ,15.35     ,18.01     ,18.01     , 25759300
10/05/2024 ,17.93     ,20.200001 ,16.879999 ,17.459999 ,17.459999 , 36831900
13/05/2024 ,26.34     ,38.200001 ,24.77     ,30.450001 ,30.450001 ,187241700
14/05/2024 ,64.830002 ,64.830002 ,36        ,48.75     ,48.75     ,206979100
15/05/2024 ,40.310001 ,42.349998 ,31        ,39.549999 ,39.549999 ,131790100
16/05/2024 ,33.98     ,35.240002 ,27.59     ,27.67     ,27.67     , 76177600
17/05/2024 ,21.860001 ,22.41     ,19.700001 ,22.209999 ,22.209999 , 96079600
20/05/2024 ,21.540001 ,23.4      ,18.940001 ,23.139999 ,23.139999 , 55261600
21/05/2024 ,22.24     ,22.85     ,20.040001 ,22.120001 ,22.120001 , 49250100
22/05/2024 ,21.559999 ,22.25     ,20.76     ,21.120001 ,21.120001 , 43521400
23/05/2024 ,21.4      ,21.4      ,18.26     ,18.32     ,18.32     , 30561100
24/05/2024 ,18.42     ,19.68     ,17.700001 ,19        ,19        , 41886700
28/05/2024 ,23.1      ,26.66     ,21.15     ,23.780001 ,23.780001 ,105077600
29/05/2024 ,22        ,22.98     ,21.049999 ,21.24     ,21.24     , 26921200
30/05/2024 ,21.02     ,22.700001 ,20.1      ,22.610001 ,22.610001 , 24508800
31/05/2024 ,22.58     ,23.719999 ,21.68     ,23.139999 ,23.139999 , 22174300
3/06/2024  ,40.189999 ,40.5      ,26.4      ,28        ,28        ,165808300
4/06/2024  ,26.26     ,28.01     ,25.200001 ,26.5      ,26.5      , 51662100
5/06/2024  ,26.299999 ,31.84     ,26.110001 ,31.57     ,31.57     , 73156400
